1;2;3;4;5;6;7;8;9;10
14416;11205;11238;11611;10951;11649;11270;11640;11094;10256;11165;10985;10786;11671;11334;10348;12043;10161;10468;11055;11051;5762;6240;6535;8435;11198;19625;17119;
11449;12530;11948;11004;11652;12025;9930;10976;11705;11262;10925;11063;12144;12115;10946;10898;10621;10907;11818;11121;10546;6455;6021;5829;7956;12658;20780;11026;
10938;10640;11805;11885;12191;12576;11818;11515;11464;11216;11097;12832;11639;12202;11036;11278;11146;11503;13057;10981;11315;5242;6170;6401;7904;11548;21906;10482;
11456;12712;12316;13046;12744;13157;12431;12562;11409;13483;11943;11544;13629;10827;13041;13126;11551;11948;12933;13007;12737;6246;6779;7143;7593;11170;20957;10472;
11614;10048;10824;11467;10397;9868;11118;11182;10806;11253;12745;11223;10083;11617;12846;14486;13829;12327;11413;11063;11472;5427;6319;6623;8496;12980;21647;10141;
10444;10139;10438;10432;12468;10020;10110;9839;10558;10391;10369;10006;10821;17088;11676;12797;11644;10719;9949;11203;9489;5890;5218;6347;8635;11961;22726;11087;
11242;12687;12332;12670;12532;14055;11580;12083;14369;11636;12012;11745;12249;11739;11929;13159;12073;12776;10618;12389;12284;5873;6509;8364;8825;13070;23014;11076;
13080;11051;12469;12331;12836;12987;11799;11822;13325;12392;11621;12197;11510;11990;12036;13057;12527;13024;13945;11417;14399;7795;7696;6936;9676;13781;29880;12575;
12829;13230;12318;13466;11921;13182;12370;12198;12491;12261;12727;12320;12993;13633;14242;11846;14130;13250;12083;13589;14208;6578;6836;6496;9577;13671;24983;13233;
11688;12371;12344;13637;12908;12820;14127;13132;13202;13427;11362;13026;11900;12951;11102;12120;11652;11684;12868;13216;12769;6467;6383;7223;8919;14331;24534;13342;
